state,start,duration,boundary_censored
1,2015-03-26,10,True
0,2015-04-09,226,False
2,2016-02-19,52,False
3,2016-05-03,36,False
2,2016-06-22,2,False
1,2016-06-24,17,False
2,2016-07-19,5,False
1,2016-07-26,28,False
0,2016-09-02,17,False
2,2016-09-27,84,False
1,2017-01-23,2,False
2,2017-01-25,127,False
1,2017-07-21,110,False
2,2017-12-22,87,False
1,2018-04-24,39,False
2,2018-06-18,68,False
1,2018-09-20,16,False
2,2018-10-12,3,False
3,2018-10-17,129,False
2,2019-04-16,1,False
1,2019-04-17,57,False
2,2019-07-05,64,False
3,2019-10-03,2,False
2,2019-10-07,1,False
3,2019-10-08,78,False
2,2020-01-24,3,False
3,2020-01-29,2,False
2,2020-01-31,1,False
1,2020-02-03,37,False
2,2020-03-25,52,False
1,2020-06-05,3,False
2,2020-06-10,42,False
3,2020-08-07,18,False
2,2020-09-02,50,False
3,2020-11-11,5,False
2,2020-11-18,23,False
1,2020-12-21,54,False
2,2021-03-05,189,True
