date,state_0,state_1,state_2,state_3
2015-03-26,6.988900715747869e-12,0.9999999999930118,2.9818912914186067e-16,1.020975479539237e-34
2015-03-27,1.2666053112164252e-05,0.999980220499272,7.113447613234763e-06,3.1090971123209213e-25
2015-03-30,2.5201583860026344e-05,0.999973300336903,1.4980792393466525e-06,1.0646610161456676e-24
2015-03-31,0.00021633839298524702,0.9997836604560264,1.150982462461941e-09,1.9273446874817496e-33
2015-04-01,0.00014952273428743286,0.9998504772221477,4.356491305382829e-11,1.0934471133605237e-37
2015-04-02,0.009093725535653994,0.9909062744623123,2.038752557392626e-12,1.5237048061147658e-38
2015-04-03,0.0007917032417097123,0.9992082950903104,1.667976693124865e-09,2.7029052748658054e-32
2015-04-06,0.0004411823477720678,0.9995583337550948,4.838971321372873e-07,6.888769498972888e-28
2015-04-07,0.00031356121416006416,0.9996863073136462,1.3147219241421942e-07,1.5783884696238076e-28
2015-04-08,0.3963369979308106,0.6036630020691789,6.318586600293094e-16,4.617692406084442e-43
2015-04-09,0.9998471187151828,0.0001528812848130038,2.0043887935202424e-23,8.331120783867703e-55
2015-04-10,0.9999999766004637,2.339953643018631e-08,8.374465217713027e-20,4.364584748484672e-49
2015-04-13,0.9999999999907914,9.186671542024315e-12,9.161292257603923e-27,1.2178489863771106e-68
2015-04-14,0.9999999999886882,1.130663261607204e-11,2.3662070121834804e-18,2.0203154453185248e-46
2015-04-15,0.9999999999993747,6.054063600095916e-13,4.3834166250587473e-16,2.4195639917655105e-40
2015-04-16,0.9999999999976694,3.3865132301738503e-13,1.9717301385666157e-12,7.402026951136607e-33
2015-04-17,0.9999999999983515,1.6472132559527557e-12,6.301535420954358e-15,1.3949568343933633e-39
2015-04-20,0.9999999999999432,7.555960444148211e-14,5.942569362696271e-32,5.508022072128928e-75
2015-04-21,0.9999999999999432,7.910615574392107e-14,1.815477144490859e-20,3.3833721843604946e-50
2015-04-22,0.9999999999999432,6.464291064227349e-14,1.4925995241072844e-23,2.1975619670943694e-57
2015-04-23,0.9999999999996021,4.0613988565369037e-13,5.450529340015107e-26,4.15317748393264e-66
2015-04-24,0.9999999999998863,1.0499145798157271e-13,4.908702900637015e-24,4.0551421668987596e-55
2015-04-27,0.9999999999999432,7.909005521334939e-14,2.3246705269203265e-17,3.2545972022635914e-45
2015-04-28,0.9999999999200782,1.1598341133829206e-13,7.979913020627484e-11,2.6272551019854422e-31
2015-04-29,0.999999999988745,3.312671306132442e-13,1.0951020881558053e-11,1.9033703596733215e-33
2015-04-30,0.9999999854894669,1.329163839599342e-12,1.4509197182662401e-08,3.920993146380333e-28
2015-05-01,0.9999999999998863,1.25185439866255e-13,2.9351534484695823e-17,1.154160272737901e-44
2015-05-04,0.9999999999648708,1.0835821987844341e-13,3.498717856330075e-11,4.602974498954954e-33
2015-05-05,0.9999999999919282,3.0118329048479977e-13,7.804142947909027e-12,1.8055892568951254e-33
2015-05-06,0.9999999999996589,3.7435314072010634e-13,1.0537737843031153e-14,6.449470906646162e-36
2015-05-07,0.9999999999970441,2.9404545286082606e-12,1.419394004023737e-15,1.4531813159183611e-43
2015-05-08,0.9999999970165163,1.3370076974810642e-11,2.9701180278418272e-09,9.593786849562407e-31
2015-05-11,0.9999999999381544,3.7831366307157526e-11,2.4057039121125487e-11,1.8569031664112071e-37
2015-05-12,0.9999999999257625,7.41667223617364e-11,2.767406544649943e-14,3.904989667449724e-46
2015-05-13,0.9999999999445208,5.54308085454565e-11,8.984062445195274e-18,4.6752387933733146e-51
2015-05-14,0.9999999999276952,7.232019600065726e-11,2.82877340191113e-15,5.0625796387353656e-48
2015-05-15,0.9999999987803676,4.000578442754914e-10,8.195216075692007e-10,2.1505999620202307e-36
2015-05-18,0.9999999976564595,2.3215131118698895e-09,2.201627579389815e-11,1.917422616581336e-39
2015-05-19,0.9999999941790065,5.821001659488721e-09,2.0545697358268847e-17,3.5511219926110426e-57
2015-05-20,0.9999998057080763,1.9429190282457354e-07,8.885683395217652e-18,1.610274566160482e-64
2015-05-21,0.9999970881738466,2.7323996052553686e-06,1.7942653950985187e-07,1.9978879277089556e-37
2015-05-22,0.9999959095368454,4.0904631108257575e-06,5.045751324665516e-16,6.032532559155717e-58
2015-05-25,0.999999492308704,5.076907039439854e-07,6.286371769077462e-13,9.682139480997311e-45
2015-05-26,0.9999999999330385,6.696933605951595e-11,4.6984519749665425e-23,6.2402969714206016e-58
2015-05-27,0.9999999999882903,1.1687634064761101e-11,2.5207053123131413e-24,3.2410069633699485e-68
2015-05-28,0.9999999999998863,5.781787817383444e-14,1.6895097816026736e-23,7.257333811380803e-57
2015-05-29,0.9999999999997726,2.3053114214360907e-13,1.9316479972847596e-19,3.402679379124914e-51
2015-06-01,0.9999999999989768,1.0147448517836312e-12,6.255674341714613e-23,2.503285909250868e-55
2015-06-02,0.9999999999998863,9.107208774976069e-14,3.9170807809018734e-20,2.0763683272895084e-57
2015-06-03,0.9999999999789679,2.1081596319440897e-11,9.224151749536337e-23,1.4323635530397032e-64
2015-06-04,0.9999999999072315,9.276217101987262e-11,5.871561865706489e-15,2.3928513559547857e-47
2015-06-05,0.9999999995413873,4.586971647585152e-10,5.358217326593615e-32,1.7359698852816464e-83
2015-06-08,0.9999999990914148,9.08607448221766e-10,5.66162834955341e-24,1.4445232323736666e-70
2015-06-09,0.99999999979741,2.0262831036175443e-10,1.7189580697789897e-21,1.715895909619707e-59
2015-06-10,0.999999999998181,1.930484190282914e-12,5.723138615684211e-22,2.531186660534091e-59
2015-06-11,0.9999999999993179,7.676790275417023e-13,6.352136349619288e-22,1.1634045986810502e-57
2015-06-12,0.9999999999715783,2.8327254713890035e-11,2.0167567772426125e-18,1.6461489273690732e-56
2015-06-15,0.9999999999988631,9.699922331588363e-13,2.0427604721959356e-13,3.501872710240591e-38
2015-06-16,0.9999999999997726,1.851636898007482e-13,7.677070369935387e-20,1.3846918764851155e-51
2015-06-17,0.9999999999995453,8.2444265709494e-14,4.1610271204052395e-13,2.924817769762021e-36
2015-06-18,1.0,2.488794851710708e-14,2.169146420287192e-16,3.567275056456589e-45
2015-06-19,0.9999999999997726,2.2053681815216697e-13,8.283407377905931e-21,1.8105560856765138e-54
2015-06-22,0.9999999999997726,3.002067460930121e-13,2.8780878693764976e-17,1.1479707241789781e-48
2015-06-23,0.9999999999888587,2.513977091046791e-12,8.520997402920105e-12,1.1419071976432553e-35
2015-06-24,1.0,7.645337407888665e-14,1.9630441185755274e-16,8.442850003309742e-45
2015-06-25,0.9999999999995453,4.1917083858587034e-13,1.7944424066244497e-18,3.008310188023511e-46
2015-06-26,0.9999999999997726,1.7452119483810506e-13,2.1083519845422647e-23,6.573452140105626e-59
2015-06-29,1.0,9.378365188032012e-14,7.284157436264281e-22,1.099996715975094e-59
2015-06-30,0.9999999999997726,1.6876380127288647e-13,8.447808062140622e-14,3.328658199678556e-41
2015-07-01,1.0,4.413711495383089e-14,1.8794940601067835e-25,6.517107140628031e-66
2015-07-02,1.0,8.438893749083566e-15,9.110075282251024e-21,4.054648321804927e-51
2015-07-03,0.9999999999997726,2.977605793001005e-13,1.6813617075331157e-15,4.596523275486936e-41
2015-07-06,1.0,6.711556966485075e-14,4.818356763417695e-21,7.360277654327476e-55
2015-07-07,1.0,8.191882415961708e-14,3.5408073654988963e-15,5.620907116467669e-41
2015-07-08,0.9999999999704414,2.0819518372482979e-13,2.9342505009674314e-11,3.7139639562741225e-32
2015-07-09,1.0,1.0576772804960027e-13,1.2877352695003776e-20,7.277483790633632e-54
2015-07-10,0.9999999999997726,1.3955839368010773e-13,5.802166548784451e-15,7.228818140416145e-40
2015-07-13,0.9999999999977263,9.418195483971003e-13,1.2398867531142135e-12,1.2658184757196001e-36
2015-07-14,0.9999999999515694,7.486619716744872e-13,4.7781821055265055e-11,8.787826482469061e-33
2015-07-15,0.9999999999852207,1.4812883625591865e-11,1.682696078528618e-20,1.0951560538058647e-56
2015-07-16,0.9999999998535714,1.4303175463468986e-10,3.381968703361154e-12,1.1981816025605214e-41
2015-07-17,0.999999999962256,3.769150268742815e-11,7.085071207235751e-14,6.572482226889212e-43
2015-07-20,0.9999999999165539,8.334891788108061e-11,3.8967634812114535e-17,5.757356902095789e-54
2015-07-21,0.9999999998251496,1.7487858108105858e-10,3.0691700274546833e-16,1.0916365031888112e-54
2015-07-22,0.9999999993585789,2.565315168379146e-10,3.848658267119417e-10,3.7754874664354204e-39
2015-07-23,0.9999999999959073,3.878677028716623e-12,2.293094125492054e-13,1.7132782985703396e-38
2015-07-24,0.9999999999995453,4.022334785368871e-13,2.0283729619781417e-14,5.49266354945012e-40
2015-07-27,0.9999999999995453,5.041792156588269e-13,6.365501725727839e-17,1.543888450686924e-48
2015-07-28,1.0,8.151444695720655e-14,6.622714980629131e-27,1.5057478304144432e-65
