model,k,validation_score,silhouette,seed_stability_ari
kmeans,2,-15.219995554104234,0.2736995763209546,1.0
gmm,2,-21.682071745188864,0.2868555117080745,
hmm,2,-21.077997904466287,0.2869497957561745,
kmeans,3,-15.073459696363448,0.24655431868804092,1.0
gmm,3,-21.952186420722185,0.23636564009445968,
hmm,3,-21.449722328043073,0.24339577897950848,
kmeans,4,-14.27535740225214,0.1351318278940117,0.3720845954413004
gmm,4,-19.874592916136606,0.18848525684356895,
hmm,4,-19.823482273789647,0.12604723954147704,
kmeans,5,-13.913527786795196,0.1324441136204857,0.885900054197326
gmm,5,-19.454519102784325,0.14560129015069156,
hmm,5,-20.564834755129848,0.10100311701743624,
kmeans,6,-13.792381703002906,0.13261459979755907,0.9577545404797819
gmm,6,-19.139054018924703,0.14285511726751488,
hmm,6,-20.31495787219318,0.10117486902140116,
